2013-06-20 03:41:52+0200 [scrapy] INFO: Scrapy 0.16.5 started (bot: dame_post)
2013-06-20 03:41:52+0200 [scrapy] DEBUG: Enabled extensions: FeedExporter, LogStats, TelnetConsole, CloseSpider, WebService, CoreStats, SpiderState
2013-06-20 03:41:52+0200 [scrapy] DEBUG: Enabled downloader middlewares: HttpAuthMiddleware, DownloadTimeoutMiddleware, UserAgentMiddleware, RetryMiddleware, DefaultHeadersMiddleware, RedirectMiddleware, CookiesMiddleware, HttpCompressionMiddleware, ChunkedTransferMiddleware, DownloaderStats
2013-06-20 03:41:52+0200 [scrapy] DEBUG: Enabled spider middlewares: HttpErrorMiddleware, OffsiteMiddleware, RefererMiddleware, UrlLengthMiddleware, DepthMiddleware
2013-06-20 03:41:52+0200 [scrapy] DEBUG: Enabled item pipelines: DamePostPipeline
2013-06-20 03:42:23+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/34/> (referer: http://osl.ugr.es/page/33/)
2013-06-20 03:42:24+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/35/> (referer: http://osl.ugr.es/page/34/)
2013-06-20 03:42:25+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/36/> (referer: http://osl.ugr.es/page/35/)
2013-06-20 03:42:26+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/37/> (referer: http://osl.ugr.es/page/36/)
2013-06-20 03:42:26+0200 [dame_post] DEBUG: Crawled (404) <GET http://osl.ugr.es/page/37/href> (referer: http://osl.ugr.es/page/37/)
2013-06-20 03:42:26+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/38/> (referer: http://osl.ugr.es/page/37/)
2013-06-20 03:42:27+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/39/> (referer: http://osl.ugr.es/page/38/)
2013-06-20 03:42:28+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/40/> (referer: http://osl.ugr.es/page/39/)
2013-06-20 03:42:29+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/41/> (referer: http://osl.ugr.es/page/40/)
2013-06-20 03:42:30+0200 [dame_post] DEBUG: Crawled (404) <GET http://osl.ugr.es/page/41/www.ugr.es/~ama/> (referer: http://osl.ugr.es/page/41/)
2013-06-20 03:42:30+0200 [dame_post] DEBUG: Crawled (404) <GET http://osl.ugr.es/page/41/www.psicobyte.com/> (referer: http://osl.ugr.es/page/41/)
2013-06-20 03:42:30+0200 [dame_post] DEBUG: Crawled (404) <GET http://osl.ugr.es/page/41/www.ugr.es/~dpto_gen/> (referer: http://osl.ugr.es/page/41/)
2013-06-20 03:42:30+0200 [dame_post] DEBUG: Crawled (404) <GET http://osl.ugr.es/page/41/www.latex-project.org/> (referer: http://osl.ugr.es/page/41/)
2013-06-20 03:42:30+0200 [dame_post] DEBUG: Crawled (404) <GET http://osl.ugr.es/page/41/www.lyx.org/> (referer: http://osl.ugr.es/page/41/)
2013-06-20 03:42:30+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/42/> (referer: http://osl.ugr.es/page/41/)
2013-06-20 03:42:31+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/43/> (referer: http://osl.ugr.es/page/42/)
2013-06-20 03:42:32+0200 [dame_post] DEBUG: Redirecting (301) to <GET http://osl.ugr.es/page/43/%20http:/georemindme.com> from <GET http://osl.ugr.es/page/43/%20http://georemindme.com>
2013-06-20 03:42:32+0200 [dame_post] DEBUG: Crawled (404) <GET http://osl.ugr.es/page/43/%20http:/georemindme.com> (referer: http://osl.ugr.es/page/43/)
2013-06-20 03:42:32+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/44/> (referer: http://osl.ugr.es/page/43/)
2013-06-20 03:42:33+0200 [dame_post] DEBUG: Crawled (404) <GET http://osl.ugr.es/page/44/www.perl.org/> (referer: http://osl.ugr.es/page/44/)
2013-06-20 03:42:33+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/45/> (referer: http://osl.ugr.es/page/44/)
2013-06-20 03:42:33+0200 [dame_post] DEBUG: Crawled (404) <GET http://osl.ugr.es/page/45/geneura.ugr.es/~jmerelo/> (referer: http://osl.ugr.es/page/45/)
2013-06-20 03:42:33+0200 [dame_post] DEBUG: Crawled (404) <GET http://osl.ugr.es/page/45/www.python.org/> (referer: http://osl.ugr.es/page/45/)
2013-06-20 03:42:34+0200 [dame_post] DEBUG: Crawled (404) <GET http://osl.ugr.es/page/45/es.wikipedia.org/wiki/Richard_Stallman> (referer: http://osl.ugr.es/page/45/)
2013-06-20 03:42:34+0200 [dame_post] DEBUG: Redirecting (301) to <GET http://osl.ugr.es/2010/05/28/esta-pagina-web-opta-a-los-premios-ideal/> from <GET http://osl.ugr.es/page/45/www.ruby-lang.org/es/>
2013-06-20 03:42:34+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/46/> (referer: http://osl.ugr.es/page/45/)
2013-06-20 03:42:34+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/2010/05/28/esta-pagina-web-opta-a-los-premios-ideal/> (referer: http://osl.ugr.es/page/45/)
2013-06-20 03:42:35+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/47/> (referer: http://osl.ugr.es/page/46/)
2013-06-20 03:42:36+0200 [dame_post] DEBUG: Redirecting (301) to <GET http://osl.ugr.es/2011/08/25/linux-celebra-su-20-cumpleanos/> from <GET http://osl.ugr.es/page/47/en.wikipedia.org/wiki/Linux>
2013-06-20 03:42:36+0200 [dame_post] DEBUG: Crawled (404) <GET http://osl.ugr.es/page/47/en.wikipedia.org/wiki/Linus_Torvalds> (referer: http://osl.ugr.es/page/47/)
2013-06-20 03:42:36+0200 [dame_post] DEBUG: Crawled (404) <GET http://osl.ugr.es/page/47/www.gnu.org/> (referer: http://osl.ugr.es/page/47/)
2013-06-20 03:42:36+0200 [dame_post] DEBUG: Crawled (404) <GET http://osl.ugr.es/page/47/en.wikipedia.org/wiki/Richard_Stallman> (referer: http://osl.ugr.es/page/47/)
2013-06-20 03:42:36+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/48/> (referer: http://osl.ugr.es/page/47/)
2013-06-20 03:42:36+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/2011/08/25/linux-celebra-su-20-cumpleanos/> (referer: http://osl.ugr.es/page/47/)
2013-06-20 03:42:37+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/49/> (referer: http://osl.ugr.es/page/48/)
2013-06-20 03:42:38+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/50/> (referer: http://osl.ugr.es/page/49/)
2013-06-20 03:42:39+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/51/> (referer: http://osl.ugr.es/page/50/)
2013-06-20 03:42:40+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/52/> (referer: http://osl.ugr.es/page/51/)
2013-06-20 03:42:40+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/53/> (referer: http://osl.ugr.es/page/52/)
2013-06-20 03:42:41+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/54/> (referer: http://osl.ugr.es/page/53/)
2013-06-20 03:42:42+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/55/> (referer: http://osl.ugr.es/page/54/)
2013-06-20 03:42:43+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/56/> (referer: http://osl.ugr.es/page/55/)
2013-06-20 03:42:44+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/57/> (referer: http://osl.ugr.es/page/56/)
2013-06-20 03:42:45+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/58/> (referer: http://osl.ugr.es/page/57/)
2013-06-20 03:42:46+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/59/> (referer: http://osl.ugr.es/page/58/)
2013-06-20 03:42:46+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/60/> (referer: http://osl.ugr.es/page/59/)
2013-06-20 03:42:47+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/61/> (referer: http://osl.ugr.es/page/60/)
2013-06-20 03:42:48+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/62/> (referer: http://osl.ugr.es/page/61/)
2013-06-20 03:42:49+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/63/> (referer: http://osl.ugr.es/page/62/)
2013-06-20 03:42:50+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/64/> (referer: http://osl.ugr.es/page/63/)
2013-06-20 03:42:51+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/65/> (referer: http://osl.ugr.es/page/64/)
2013-06-20 03:42:52+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/66/> (referer: http://osl.ugr.es/page/65/)
2013-06-20 03:42:52+0200 [dame_post] INFO: Crawled 90 pages (at 90 pages/min), scraped 0 items (at 0 items/min)
2013-06-20 03:42:53+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/67/> (referer: http://osl.ugr.es/page/66/)
2013-06-20 03:42:53+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/68/> (referer: http://osl.ugr.es/page/67/)
2013-06-20 03:42:54+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/69/> (referer: http://osl.ugr.es/page/68/)
2013-06-20 03:42:55+0200 [dame_post] DEBUG: Crawled (404) <GET http://osl.ugr.es/page/69/www.ugr.es/~gas/> (referer: http://osl.ugr.es/page/69/)
2013-06-20 03:42:55+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/70/> (referer: http://osl.ugr.es/page/69/)
2013-06-20 03:42:56+0200 [dame_post] DEBUG: Redirecting (301) to <GET http://osl.ugr.es/2010/03/02/taller-de-introduccion-a-perl/> from <GET http://osl.ugr.es/page/2010/03/02/taller-de-introduccion-a-perl/>
2013-06-20 03:42:56+0200 [dame_post] DEBUG: Redirecting (301) to <GET http://osl.ugr.es/cursos-y-eventos/actividades-de-la-osl/> from <GET http://osl.ugr.es/page/2010/04/23/cursos-y-eventos/actividades-de-la-osl/>
2013-06-20 03:42:56+0200 [dame_post] DEBUG: Crawled (404) <GET http://osl.ugr.es/page/2010/04/23/> (referer: http://osl.ugr.es/page/70/)
2013-06-20 03:42:56+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/71/> (referer: http://osl.ugr.es/page/70/)
2013-06-20 03:42:56+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/2010/03/02/taller-de-introduccion-a-perl/> (referer: http://osl.ugr.es/page/70/)
2013-06-20 03:42:56+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/cursos-y-eventos/actividades-de-la-osl/> (referer: http://osl.ugr.es/page/70/)
2013-06-20 03:42:57+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/72/> (referer: http://osl.ugr.es/page/71/)
2013-06-20 03:42:58+0200 [dame_post] DEBUG: Crawled (404) <GET http://osl.ugr.es/page/72/href> (referer: http://osl.ugr.es/page/72/)
2013-06-20 03:42:58+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/73/> (referer: http://osl.ugr.es/page/72/)
2013-06-20 03:42:59+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/74/> (referer: http://osl.ugr.es/page/73/)
2013-06-20 03:43:00+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/75/> (referer: http://osl.ugr.es/page/74/)
2013-06-20 03:43:01+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/76/> (referer: http://osl.ugr.es/page/75/)
2013-06-20 03:43:02+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/77/> (referer: http://osl.ugr.es/page/76/)
2013-06-20 03:43:02+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/78/> (referer: http://osl.ugr.es/page/77/)
2013-06-20 03:43:03+0200 [dame_post] DEBUG: Redirecting (301) to <GET http://osl.ugr.es/2010/02/23/usando-guadalinex-edu-en-los-portatiles-escolares-de-la-junta-de-andalucia/> from <GET http://osl.ugr.es/page/2010/02/23/usando-guadalinex-edu-en-los-portatiles-escolares-de-la-junta-de-andalucia/>
2013-06-20 03:43:03+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/79/> (referer: http://osl.ugr.es/page/78/)
2013-06-20 03:43:04+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/80/> (referer: http://osl.ugr.es/page/79/)
2013-06-20 03:43:04+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/2010/02/23/usando-guadalinex-edu-en-los-portatiles-escolares-de-la-junta-de-andalucia/> (referer: http://osl.ugr.es/page/78/)
2013-06-20 03:43:07+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/81/> (referer: http://osl.ugr.es/page/80/)
2013-06-20 03:43:08+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/82/> (referer: http://osl.ugr.es/page/81/)
2013-06-20 03:43:09+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/83/> (referer: http://osl.ugr.es/page/82/)
2013-06-20 03:43:09+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/84/> (referer: http://osl.ugr.es/page/83/)
2013-06-20 03:43:10+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/85/> (referer: http://osl.ugr.es/page/84/)
2013-06-20 03:43:11+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/86/> (referer: http://osl.ugr.es/page/85/)
2013-06-20 03:43:12+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/87/> (referer: http://osl.ugr.es/page/86/)
2013-06-20 03:43:13+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/88/> (referer: http://osl.ugr.es/page/87/)
2013-06-20 03:43:13+0200 [dame_post] DEBUG: Redirecting (301) to <GET http://osl.ugr.es/page/88/%3Cobject%20width=%22425%22%20height=%22344%22%3E%3Cparam%20name=%22movie%22%20value=%22http:/www.youtube.com/v/ehCgG9yZQmg&color1=0x6699&color2=0x54abd6&hl=en_US&feature=player_embedded&fs=1%22%3E%3C/param%3E%3Cparam%20name=%22allowFullScreen%22%20value=%22true%22%3E%3C/param%3E%3Cparam%20name=%22allowScriptAccess%22%20value=%22always%22%3E%3C/param%3E%3Cembed%20src=%22http:/www.youtube.com/v/ehCgG9yZQmg&color1=0x6699&color2=0x54abd6&hl=en_US&feature=player_embedded&fs=1%22%20type=%22application/x-shockwave-flash%22%20allowfullscreen=%22true%22%20allowScriptAccess=%22always%22%20width=%22425%22%20height=%22344%22%3E%3C/embed%3E%3C/object%3E> from <GET http://osl.ugr.es/page/88/%3Cobject%20width=%22425%22%20height=%22344%22%3E%3Cparam%20name=%22movie%22%20value=%22http://www.youtube.com/v/ehCgG9yZQmg&color1=0x6699&color2=0x54abd6&hl=en_US&feature=player_embedded&fs=1%22%3E%3C/param%3E%3Cparam%20name=%22allowFullScreen%22%20value=%22true%22%3E%3C/param%3E%3Cparam%20name=%22allowScriptAccess%22%20value=%22always%22%3E%3C/param%3E%3Cembed%20src=%22http://www.youtube.com/v/ehCgG9yZQmg&color1=0x6699&color2=0x54abd6&hl=en_US&feature=player_embedded&fs=1%22%20type=%22application/x-shockwave-flash%22%20allowfullscreen=%22true%22%20allowScriptAccess=%22always%22%20width=%22425%22%20height=%22344%22%3E%3C/embed%3E%3C/object%3E>
2013-06-20 03:43:14+0200 [dame_post] DEBUG: Crawled (404) <GET http://osl.ugr.es/page/88/%3Cobject%20width=%22425%22%20height=%22344%22%3E%3Cparam%20name=%22movie%22%20value=%22http:/www.youtube.com/v/ehCgG9yZQmg&color1=0x6699&color2=0x54abd6&hl=en_US&feature=player_embedded&fs=1%22%3E%3C/param%3E%3Cparam%20name=%22allowFullScreen%22%20value=%22true%22%3E%3C/param%3E%3Cparam%20name=%22allowScriptAccess%22%20value=%22always%22%3E%3C/param%3E%3Cembed%20src=%22http:/www.youtube.com/v/ehCgG9yZQmg&color1=0x6699&color2=0x54abd6&hl=en_US&feature=player_embedded&fs=1%22%20type=%22application/x-shockwave-flash%22%20allowfullscreen=%22true%22%20allowScriptAccess=%22always%22%20width=%22425%22%20height=%22344%22%3E%3C/embed%3E%3C/object%3E> (referer: http://osl.ugr.es/page/88/)
2013-06-20 03:43:14+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/89/> (referer: http://osl.ugr.es/page/88/)
2013-06-20 03:43:14+0200 [dame_post] DEBUG: Crawled (404) <GET http://osl.ugr.es/page/89/sl.ugr.es> (referer: http://osl.ugr.es/page/89/)
2013-06-20 03:43:15+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/90/> (referer: http://osl.ugr.es/page/89/)
2013-06-20 03:43:15+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/91/> (referer: http://osl.ugr.es/page/90/)
2013-06-20 03:43:16+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/92/> (referer: http://osl.ugr.es/page/91/)
2013-06-20 03:43:17+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/93/> (referer: http://osl.ugr.es/page/92/)
2013-06-20 03:43:18+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/94/> (referer: http://osl.ugr.es/page/93/)
2013-06-20 03:43:19+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/95/> (referer: http://osl.ugr.es/page/94/)
2013-06-20 03:43:20+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/96/> (referer: http://osl.ugr.es/page/95/)
2013-06-20 03:43:21+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/97/> (referer: http://osl.ugr.es/page/96/)
2013-06-20 03:43:21+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/98/> (referer: http://osl.ugr.es/page/97/)
